,Old Name,New Name,Flag system,Name Plot
331,mean_everywhere_var_6_time_5,mn_ts_v6_t5,0,mn_ts_v6_t5
332,mean_everywhere_var_7_time_5,mn_ts_v7_t5,0,mn_ts_v7_t5
333,mean_everywhere_var_8_time_5,mn_ts_v8_t5,0,mn_ts_v8_t5
334,mean_everywhere_var_9_time_5,mn_ts_v9_t5,0,mn_ts_v9_t5
335,mean_everywhere_var_10_time_5,mn_ts_v10_t5,0,mn_ts_v10_t5
336,mean_everywhere_var_11_time_5,mn_ts_v11_t5,0,mn_ts_v11_t5
337,mean_everywhere_var_12_time_5,mn_ts_v12_t5,0,mn_ts_v12_t5
338,mean_everywhere_var_13_time_5,mn_ts_v13_t5,0,mn_ts_v13_t5
339,mean_everywhere_var_14_time_5,mn_ts_v14_t5,0,mn_ts_v14_t5
340,mean_everywhere_var_15_time_5,mn_ts_v15_t5,0,mn_ts_v15_t5
341,mean_everywhere_var_16_time_5,mn_ts_v16_t5,0,mn_ts_v16_t5
342,mean_everywhere_var_17_time_5,mn_ts_v17_t5,0,mn_ts_v17_t5
343,mean_everywhere_var_18_time_5,mn_ts_v18_t5,0,mn_ts_v18_t5
344,mean_everywhere_var_19_time_5,mn_ts_v19_t5,0,mn_ts_v19_t5
345,mean_everywhere_var_1_time_6,mn_ts_v1_t6,0,mn_ts_v1_t6
346,mean_everywhere_var_2_time_6,mn_ts_v2_t6,0,mn_ts_v2_t6
347,mean_everywhere_var_3_time_6,mn_ts_v3_t6,0,mn_ts_v3_t6
348,mean_everywhere_var_4_time_6,mn_ts_v4_t6,0,mn_ts_v4_t6
349,mean_everywhere_var_5_time_6,mn_ts_v5_t6,0,mn_ts_v5_t6
350,mean_everywhere_var_6_time_6,mn_ts_v6_t6,0,mn_ts_v6_t6
351,mean_everywhere_var_7_time_6,mn_ts_v7_t6,0,mn_ts_v7_t6
352,mean_everywhere_var_8_time_6,mn_ts_v8_t6,0,mn_ts_v8_t6
353,mean_everywhere_var_9_time_6,mn_ts_v9_t6,0,mn_ts_v9_t6
354,mean_everywhere_var_10_time_6,mn_ts_v10_t6,0,mn_ts_v10_t6
355,mean_everywhere_var_11_time_6,mn_ts_v11_t6,0,mn_ts_v11_t6
356,mean_everywhere_var_12_time_6,mn_ts_v12_t6,0,mn_ts_v12_t6
357,mean_everywhere_var_13_time_6,mn_ts_v13_t6,0,mn_ts_v13_t6
358,mean_everywhere_var_14_time_6,mn_ts_v14_t6,0,mn_ts_v14_t6
359,mean_everywhere_var_15_time_6,mn_ts_v15_t6,0,mn_ts_v15_t6
360,mean_everywhere_var_16_time_6,mn_ts_v16_t6,0,mn_ts_v16_t6
361,mean_everywhere_var_17_time_6,mn_ts_v17_t6,0,mn_ts_v17_t6
362,mean_everywhere_var_18_time_6,mn_ts_v18_t6,0,mn_ts_v18_t6
363,mean_everywhere_var_19_time_6,mn_ts_v19_t6,0,mn_ts_v19_t6
364,mean_everywhere_var_1_time_7,mn_ts_v1_t7,0,mn_ts_v1_t7
365,mean_everywhere_var_2_time_7,mn_ts_v2_t7,0,mn_ts_v2_t7
366,mean_everywhere_var_3_time_7,mn_ts_v3_t7,0,mn_ts_v3_t7
367,mean_everywhere_var_4_time_7,mn_ts_v4_t7,0,mn_ts_v4_t7
368,mean_everywhere_var_5_time_7,mn_ts_v5_t7,0,mn_ts_v5_t7
369,mean_everywhere_var_6_time_7,mn_ts_v6_t7,0,mn_ts_v6_t7
370,mean_everywhere_var_7_time_7,mn_ts_v7_t7,0,mn_ts_v7_t7
371,mean_everywhere_var_8_time_7,mn_ts_v8_t7,0,mn_ts_v8_t7
372,mean_everywhere_var_9_time_7,mn_ts_v9_t7,0,mn_ts_v9_t7
373,mean_everywhere_var_10_time_7,mn_ts_v10_t7,0,mn_ts_v10_t7
374,mean_everywhere_var_11_time_7,mn_ts_v11_t7,0,mn_ts_v11_t7
375,mean_everywhere_var_12_time_7,mn_ts_v12_t7,0,mn_ts_v12_t7
